clip_id,timestamp,comments
WrongStormyPenguinKappa,2019-05-08 22:31:58,은근슬쩍 ScaredyCat
WrongStormyPenguinKappa,2019-05-08 22:32:16,크으
WrongStormyPenguinKappa,2019-05-08 22:32:19,그나마 최근꺼넹
WrongStormyPenguinKappa,2019-05-08 22:32:22,띵곡
WrongStormyPenguinKappa,2019-05-08 22:32:26,전 신세대니깐요
WrongStormyPenguinKappa,2019-05-08 22:32:27,허허허허허허
WrongStormyPenguinKappa,2019-05-08 22:32:53,이걸 모르면 안대지
WrongStormyPenguinKappa,2019-05-08 22:32:54,그게 뭐임? 할지도
WrongStormyPenguinKappa,2019-05-08 22:32:57,박상민이 부릅니다~ 슬램덩크
WrongStormyPenguinKappa,2019-05-08 22:33:22,요즘애들은 신비아파트 본다구
WrongStormyPenguinKappa,2019-05-08 22:33:24,BloodTrail
WrongStormyPenguinKappa,2019-05-08 22:33:30,네 완전 덜 바르심
WrongStormyPenguinKappa,2019-05-08 22:33:38,뼈 갈라서 안에 골까지 드셔야..
WrongStormyPenguinKappa,2019-05-08 22:33:41,엄청 많이 남았넹..
WrongStormyPenguinKappa,2019-05-08 22:33:51,요즘은 도깨비가...
WrongStormyPenguinKappa,2019-05-08 22:33:51,나리 안다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
WrongStormyPenguinKappa,2019-05-08 22:33:54,아네 ㅋㅋㅋ
WrongStormyPenguinKappa,2019-05-08 22:33:59,아는거네
WrongStormyPenguinKappa,2019-05-08 22:34:02,아는데 ㅋㅋㅋㅋㅋㅋㅋㅋ
WrongStormyPenguinKappa,2019-05-08 22:34:08,모르는데 왜 웃김?ㅋㅋ
WrongStormyPenguinKappa,2019-05-08 22:34:09,아는거자너 솔직해지자
WrongStormyPenguinKappa,2019-05-08 22:34:17,입꼬리 어쩔꺼야
WrongStormyPenguinKappa,2019-05-08 22:34:18,아는데?
WrongStormyPenguinKappa,2019-05-08 22:34:18,라무를 몰라요 ? ScaredyCat ScaredyCat
WrongStormyPenguinKappa,2019-05-08 22:34:27,입꼬리가 승천하는데?
WrongStormyPenguinKappa,2019-05-08 22:34:27,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
WrongStormyPenguinKappa,2019-05-08 22:34:30,이 띵곡을 모른다고?
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:53,새봄님한테 여쭤보세요
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:54,바꾸든 말든 님 얼굴이 거기서 거기지 뭐
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:54,남캠모드가 좋습니다
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:54,ㅇㅇ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:54,알아 하십쇼
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:54,황달보단 허연게 보기 좋습니다
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:54,솔직히 남자얼굴 자세히 보고싶지 않습니다 훠훠훠
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:55,좋은뎈ㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:55,밝은 편이긴한데 뭐.. 그냥 괜찮은데
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:56,얼굴보는 방송이 아니라서
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:56,어차피 얼굴 잘 안봅니다
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:56,어차피 캠보러오는거아닙니다 허허
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:57,ㄱㅊ 쌍베님 캠안봅니다
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:58,하얘서 좋음
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:58,대충 보이면 됩니다
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:58,노상관입니다
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:31:58,얼궁보러 오는것도 아닌데 뭐
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:01,잉혐
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:03,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:04,ㄵ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:06,메일단 ㅋㅋ
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:06,건강해보이십니다
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:06,잉혐 슬슬 시작되는건가
FrozenAgitatedGooseSpicyBoy,2019-05-08 15:32:06,?
