streamer_id,streamer_login,streamer_name,profile_image,view_count
0,139470326,handongsuk,한동숙,https://static-cdn.jtvnw.net/jtv_user_pictures/1d987a8ba88e252b-profile_image-300x300.png,30328331
1,190835892,lck_korea,LCK_Korea,https://static-cdn.jtvnw.net/jtv_user_pictures/b466437b-e3cf-4be6-b954-a158ffb26c67-profile_image-300x300.jpeg,75887284
2,103825127,hanryang1125,풍월량,https://static-cdn.jtvnw.net/jtv_user_pictures/hanryang1125-profile_image-58261d78af47d249-300x300.jpeg,56446633
3,30904062,saddummy,서새봄냥,https://static-cdn.jtvnw.net/jtv_user_pictures/saddummy-profile_image-925b92caa01026ae-300x300.jpeg,43501124
4,152596920,lol_ambition,앰비션_,https://static-cdn.jtvnw.net/jtv_user_pictures/8d9d49f3-d744-495b-ba28-facc57dc9381-profile_image-300x300.png,13761498
5,103861159,yapyap30,얍얍,https://static-cdn.jtvnw.net/jtv_user_pictures/a2de22d381b3fc15-profile_image-300x300.png,42762903
6,188864445,overwatchleague_kr,오버워치리그,https://static-cdn.jtvnw.net/jtv_user_pictures/030cdefe-9a20-43c3-bf01-3f893c11b8e8-profile_image-300x300.png,36720798
7,43691,faker,Faker,https://static-cdn.jtvnw.net/jtv_user_pictures/7879ab90-7bfd-4c5f-b658-96e267b39a42-profile_image-300x300.jpeg,54578198
8,102381201,ddahyoni,따효니,https://static-cdn.jtvnw.net/jtv_user_pictures/624ea6571705a4e4-profile_image-300x300.jpeg,25731771
9,102845970,kimdoe,김도,https://static-cdn.jtvnw.net/jtv_user_pictures/kimdoe-profile_image-354ecea9a42c41e9-300x300.png,24343129
10,62356185,looksam,룩삼,https://static-cdn.jtvnw.net/jtv_user_pictures/looksam-profile_image-5b099db649c1c306-300x300.jpeg,23318036
11,137922988,dlxowns45,태준이,https://static-cdn.jtvnw.net/jtv_user_pictures/436da679-674f-45c3-b331-3b10741355f6-profile_image-300x300.jpeg,8091461
12,131925215,jinu6734,김진우,https://static-cdn.jtvnw.net/jtv_user_pictures/d48767c9-fef7-48cf-9e10-e3baffefbb19-profile_image-300x300.png,8622855
13,138094321,h920103,이초홍,https://static-cdn.jtvnw.net/jtv_user_pictures/8b94d95d-36f8-4eac-b9db-7c2756f712f2-profile_image-300x300.png,6167571
14,42848761,tranth,자동,https://static-cdn.jtvnw.net/jtv_user_pictures/cd33f8950721399c-profile_image-300x300.png,6904735
15,156748712,yumyumyu77,소풍왔니,https://static-cdn.jtvnw.net/jtv_user_pictures/ec78524328df557b-profile_image-300x300.jpeg,21823132
16,140569811,wpckor,오린이야,https://static-cdn.jtvnw.net/jtv_user_pictures/b61b6f7a-ae38-4cf7-b901-3dfad5066791-profile_image-300x300.png,2458159
17,103203797,choerakjo,최락조,https://static-cdn.jtvnw.net/jtv_user_pictures/1ee8e0e4a078e76a-profile_image-300x300.jpeg,692536
18,48731544,ses836,인간젤리,https://static-cdn.jtvnw.net/jtv_user_pictures/7cce4c35-3e31-44d3-8018-9c82a921fc10-profile_image-300x300.jpg,6747648
19,225138277,jinsooo0,진수0,https://static-cdn.jtvnw.net/jtv_user_pictures/230d44cd-bffd-4b3e-bc1a-86388cce642d-profile_image-300x300.png,552570
20,133923936,2chamcham2,탬탬버린,https://static-cdn.jtvnw.net/jtv_user_pictures/4223ce80-605e-4cf6-81db-bdb19b92c35a-profile_image-300x300.png,14803185
21,143754803,hejin0_0,헤징,https://static-cdn.jtvnw.net/jtv_user_pictures/ca504b2b-7a5d-4941-9893-a10312318d96-profile_image-300x300.png,1338844
22,71013219,partingthebigboy,PartinGtheBigBoy,https://static-cdn.jtvnw.net/jtv_user_pictures/partingthebigboy-profile_image-7adba12dad8ff3eb-300x300.jpeg,2192883
23,160989002,ok_ja,박옥자누나,https://static-cdn.jtvnw.net/jtv_user_pictures/4fae4e45-b190-41fa-90b9-750b89d835c9-profile_image-300x300.jpg,2700805
24,158043399,osk4351,마왕병,https://static-cdn.jtvnw.net/jtv_user_pictures/9be7d141-c87c-4275-85f5-0c8b841023ce-profile_image-300x300.png,136829
25,131216802,cocopopp671,초승달,https://static-cdn.jtvnw.net/jtv_user_pictures/27c27c81-c19d-40a0-b438-cb85ee4fdd7b-profile_image-300x300.jpeg,23264547
